Ply_name,Texture Condition,Brightness distortion,Color Distortion,Noise,Blurriness,Point Density Distortion,Scattering Artifact,Grid Artifact,Missing Region,Deformed Shape,MOS,Rounded MOS,Label,Generated_Description
biscuits_gQP_2_tQP_1.ply,Distorted but identifiable,Medium,Low,None,Low,Low,Low,None,None,None,68.13405141,68,Good,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a medium level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness, whereas geometric effects involve a low level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
biscuits_gQP_2_tQP_2.ply,Distorted but identifiable,Medium,Low,None,Medium,Low,Low,None,None,None,65.29075052,65,Good,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a medium level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness, while geometric artifacts include a low level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
biscuits_gQP_2_tQP_3.ply,Distorted but identifiable,Medium,Medium,None,Medium,Medium,Low,Low,None,None,53.1133493,53,Fair,"From a perceptual viewpoint, the texture is distorted but identifiable. Geometric distortions are characterized by a medium level of point density distortion, a low level of scattering artifact, a low level of grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a medium level of brightness distortion, a medium level of color distortion, no perceptible noise, and a medium level of blurriness. The overall quality is rated as fair."
biscuits_gQP_3_tQP_1.ply,Distorted but identifiable,Medium,Medium,None,Medium,Medium,Medium,Low,Low,None,67.14806687,67,Good,"When examining this point cloud, the texture is distorted but identifiable. On the photometric side, we observe a medium level of brightness distortion, a medium level of color distortion, no perceptible noise, and a medium level of blurriness; on the geometric side, we observe a medium level of point density distortion, a medium level of scattering artifact, a low level of grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as good."
biscuits_gQP_3_tQP_2.ply,Distorted but identifiable,Medium,Medium,None,Medium,Medium,Medium,Low,Low,None,54.19129873,54,Fair,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a medium level of brightness distortion, a medium level of color distortion, no perceptible noise, and a medium level of blurriness, and geometric ones include a medium level of point density distortion, a medium level of scattering artifact, a low level of grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
biscuits_gQP_3_tQP_3.ply,Distorted but identifiable,Medium,Medium,None,Medium,Medium,Medium,Low,Low,None,45.67685542,46,Fair,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a medium level of brightness distortion, a medium level of color distortion, no perceptible noise, and a medium level of blurriness, and geometric ones include a medium level of point density distortion, a medium level of scattering artifact, a low level of grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
biscuits_gsigma_0_tsigma_8.ply,Slightly distorted but identifiable,Medium,Low,Low,Low,Low,None,None,None,None,82.28266671,82,Good,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a medium level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
biscuits_gsigma_0_tsigma_16.ply,Slightly distorted but identifiable,Medium,Low,Medium,Low,Low,None,None,None,None,70.89991405,71,Good,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a medium level of brightness distortion, a low level of color distortion, a medium level of noise, and a low level of blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
biscuits_gsigma_0_tsigma_32.ply,Distorted but identifiable,Medium,Medium,High,Low,Low,None,None,None,None,40.47262999,40,Poor,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a medium level of brightness distortion, a medium level of color distortion, a high level of noise, and a low level of blurriness, and geometric ones include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
biscuits_gsigma_2_tsigma_8.ply,Distorted but identifiable,Medium,Medium,High,Medium,Medium,Low,None,None,None,60.93076647,61,Fair,"Visually, the texture is distorted but identifiable, with photometric distortions such as a medium level of brightness distortion, a medium level of color distortion, a high level of noise, and a medium level of blurriness. Geometric artifacts such as a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
biscuits_gsigma_2_tsigma_16.ply,Distorted but identifiable,Medium,Medium,High,Medium,Medium,Low,None,None,None,55.54540274,56,Fair,"Visually, the texture is distorted but identifiable, with photometric distortions such as a medium level of brightness distortion, a medium level of color distortion, a high level of noise, and a medium level of blurriness. Geometric artifacts such as a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
biscuits_gsigma_2_tsigma_32.ply,Distorted but identifiable,Medium,Medium,High,Medium,Medium,Low,None,None,None,37.85852516,38,Poor,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a medium level of brightness distortion, a medium level of color distortion, a high level of noise, and a medium level of blurriness, whereas geometric effects involve a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
biscuits_gsigma_4_tsigma_8.ply,Barely Identifiable,Medium,Medium,High,Medium,Medium,Low,None,None,None,46.58815205,47,Fair,"When examining this point cloud, the texture is barely identifiable. On the photometric side, we observe a medium level of brightness distortion, a medium level of color distortion, a high level of noise, and a medium level of blurriness; on the geometric side, we observe a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
biscuits_gsigma_4_tsigma_16.ply,Barely Identifiable,Medium,Medium,High,Medium,Medium,Low,None,None,None,43.1335575,43,Poor,"Considering this point cloud, the texture is barely identifiable. Photometric effects involve a medium level of brightness distortion, a medium level of color distortion, a high level of noise, and a medium level of blurriness, whereas geometric effects involve a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
biscuits_gsigma_4_tsigma_32.ply,Barely Identifiable,Medium,Medium,Severe,Medium,Medium,Low,None,None,None,25.37935374,25,Poor,"From a perceptual standpoint, the texture is barely identifiable. In terms of distortions, photometric ones include a medium level of brightness distortion, a medium level of color distortion, a severe level of noise, and a medium level of blurriness, and geometric ones include a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
biscuits_level_7.ply,Completely Damaged,High,Severe,High,Low,Severe,None,None,None,None,6.910472714,7,Bad,"Visually, the texture is completely damaged, with photometric distortions such as a high level of brightness distortion, a severe level of color distortion, a high level of noise, and a low level of blurriness. Geometric artifacts such as a severe level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as bad."
biscuits_level_8.ply,Completely Damaged,Medium,Low,High,Low,High,None,None,None,None,26.07829319,26,Poor,"From a perceptual standpoint, the texture is completely damaged. In terms of distortions, photometric ones include a medium level of brightness distortion, a low level of color distortion, a high level of noise, and a low level of blurriness, and geometric ones include a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
biscuits_level_9.ply,Barely Identifiable,Low,Low,High,Low,Medium,None,None,None,None,78.90662046,79,Good,"Considering this point cloud, the texture is barely identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, a high level of noise, and a low level of blurriness, whereas geometric effects involve a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
biscuits_pqs_1_qs_16_rounded.ply,Distorted but identifiable,Medium,Low,Low,Medium,Low,None,None,None,None,85.08186966,85,Excellent,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a medium level of brightness distortion, a low level of color distortion, a low level of noise, and a medium level of blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
biscuits_pqs_1_qs_32_rounded.ply,Distorted but identifiable,Medium,Medium,Low,Medium,Low,None,None,None,None,74.44788099,74,Good,"From a perceptual viewpoint, the texture is distorted but identifiable. Geometric distortions are characterized by a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a medium level of brightness distortion, a medium level of color distortion, a low level of noise, and a medium level of blurriness. The overall quality is rated as good."
biscuits_pqs_1_qs_48_rounded.ply,Distorted but identifiable,Medium,High,Low,Medium,Low,None,None,None,None,40.20381716,40,Poor,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a medium level of brightness distortion, a high level of color distortion, a low level of noise, and a medium level of blurriness, and geometric ones include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
biscuits_pqs_1_qs_64_rounded.ply,Barely Identifiable,Medium,High,Low,Medium,Low,None,None,None,None,24.03115802,24,Bad,"In this point cloud, the texture is barely identifiable. Photometric distortions include a medium level of brightness distortion, a high level of color distortion, a low level of noise, and a medium level of blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
biscuits_tsl_4_tqs_64.ply,Barely Identifiable,Medium,Low,None,Medium,High,None,None,High,High,18.04515443,18,Bad,"Considering this point cloud, the texture is barely identifiable. Photometric effects involve a medium level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness, whereas geometric effects involve a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a high level of missing region, and a high level of deformed shape. The overall quality is rated as bad."
biscuits_tsl_4_tqs_128.ply,Barely Identifiable,Medium,Low,None,Medium,High,None,None,High,High,20.56426096,21,Bad,"Considering this point cloud, the texture is barely identifiable. Photometric effects involve a medium level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness, whereas geometric effects involve a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a high level of missing region, and a high level of deformed shape. The overall quality is rated as bad."
biscuits_tsl_4_tqs_256.ply,Completely Damaged,Medium,Medium,None,High,High,None,None,High,High,17.38710508,17,Bad,"When examining this point cloud, the texture is completely damaged. On the photometric side, we observe a medium level of brightness distortion, a medium level of color distortion, no perceptible noise, and a high level of blurriness; on the geometric side, we observe a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a high level of missing region, and a high level of deformed shape. The overall quality is rated as bad."
biscuits_tsl_4_tqs_512.ply,Completely Damaged,Medium,Medium,None,High,High,None,None,High,High,11.29893963,11,Bad,"Visually, the texture is completely damaged, with photometric distortions such as a medium level of brightness distortion, a medium level of color distortion, no perceptible noise, and a high level of blurriness. Geometric artifacts such as a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a high level of missing region, and a high level of deformed shape are also present. The overall quality is rated as bad."
biscuits_tsl_6_tqs_64.ply,Distorted but identifiable,Medium,Low,None,Medium,Low,None,None,Low,Low,83.00914582,83,Good,"When examining this point cloud, the texture is distorted but identifiable. On the photometric side, we observe a medium level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and a low level of deformed shape. The overall quality is rated as good."
biscuits_tsl_6_tqs_128.ply,Distorted but identifiable,Medium,Low,None,Medium,Low,None,None,Low,Low,68.95568291,69,Good,"When examining this point cloud, the texture is distorted but identifiable. On the photometric side, we observe a medium level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and a low level of deformed shape. The overall quality is rated as good."
biscuits_tsl_6_tqs_256.ply,Distorted but identifiable,Medium,Low,None,High,None,None,None,Low,Low,46.84884777,47,Fair,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a medium level of brightness distortion, a low level of color distortion, no perceptible noise, and a high level of blurriness, and geometric ones include no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and a low level of deformed shape. The overall quality is rated as fair."
biscuits_tsl_6_tqs_512.ply,Barely Identifiable,Medium,Medium,None,Severe,None,None,None,Low,Low,27.49479604,27,Poor,"From a perceptual standpoint, the texture is barely identifiable. In terms of distortions, photometric ones include a medium level of brightness distortion, a medium level of color distortion, no perceptible noise, and a severe level of blurriness, and geometric ones include no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and a low level of deformed shape. The overall quality is rated as poor."
biscuits_tsl_8_tqs_64.ply,Distorted but identifiable,Medium,Low,None,Medium,Low,None,None,None,None,81.60694704,82,Good,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a medium level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness, and geometric ones include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
biscuits_tsl_8_tqs_128.ply,Distorted but identifiable,Medium,Low,None,Medium,Low,None,None,None,None,71.1781634,71,Good,"When examining this point cloud, the texture is distorted but identifiable. On the photometric side, we observe a medium level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
biscuits_tsl_8_tqs_256.ply,Barely Identifiable,Medium,Medium,None,Medium,Low,None,None,None,None,50.5576824,51,Fair,"Considering this point cloud, the texture is barely identifiable. Photometric effects involve a medium level of brightness distortion, a medium level of color distortion, no perceptible noise, and a medium level of blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
biscuits_tsl_8_tqs_512.ply,Completely Damaged,Medium,Medium,None,High,Low,None,None,None,None,24.26462774,24,Bad,"Visually, the texture is completely damaged, with photometric distortions such as a medium level of brightness distortion, a medium level of color distortion, no perceptible noise, and a high level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as bad."
cake_gQP_1_tQP_1.ply,Slightly distorted but identifiable,Low,Low,None,None,Low,None,None,Low,None,80.20526502,80,Good,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as good."
cake_gQP_1_tQP_2.ply,Slightly distorted but identifiable,Low,Low,None,Low,Medium,None,None,Medium,None,71.92097573,72,Good,"In this point cloud, the texture is slightly distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness, while geometric artifacts include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a medium level of missing region, and no perceptible deformed shape. The overall quality is rated as good."
cake_gQP_1_tQP_3.ply,Slightly distorted but identifiable,Medium,Medium,Low,Low,Medium,None,Low,Medium,None,53.38313209,53,Fair,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a medium level of brightness distortion, a medium level of color distortion, a low level of noise, and a low level of blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, a low level of grid artifact, a medium level of missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
cake_gQP_2_tQP_1.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Medium,Low,None,Medium,None,55.79723355,56,Fair,"In this point cloud, the texture is slightly distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness, while geometric artifacts include a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, a medium level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
cake_gQP_2_tQP_2.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Medium,Low,None,Medium,None,51.11284661,51,Fair,"From a perceptual viewpoint, the texture is slightly distorted but identifiable. Geometric distortions are characterized by a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, a medium level of missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness. The overall quality is rated as fair."
cake_gQP_2_tQP_3.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Medium,Low,None,Medium,None,49.40907712,49,Fair,"From a perceptual viewpoint, the texture is slightly distorted but identifiable. Geometric distortions are characterized by a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, a medium level of missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness. The overall quality is rated as fair."
cake_gQP_3_tQP_1.ply,Distorted but identifiable,Low,Low,Low,Low,High,Medium,None,High,None,27.03674282,27,Poor,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness, while geometric artifacts include a high level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
cake_gQP_3_tQP_2.ply,Distorted but identifiable,Low,Low,Low,Low,High,Medium,None,High,None,25.93804334,26,Poor,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness, whereas geometric effects involve a high level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
cake_gQP_3_tQP_3.ply,Distorted but identifiable,Low,Low,Low,Medium,High,Medium,None,High,None,25.63802684,26,Poor,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a low level of noise, and a medium level of blurriness. Geometric artifacts such as a high level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape are also present. The overall quality is rated as poor."
cake_gsigma_0_tsigma_8.ply,Slightly distorted but identifiable,Low,Low,Medium,Low,Low,None,None,None,None,82.3590312,82,Good,"From a perceptual standpoint, the texture is slightly distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, a medium level of noise, and a low level of blurriness, and geometric ones include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
cake_gsigma_0_tsigma_16.ply,Slightly distorted but identifiable,Low,Low,Medium,Low,Low,None,None,None,None,68.48543238,68,Good,"From a perceptual viewpoint, the texture is slightly distorted but identifiable. Geometric distortions are characterized by a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, a medium level of noise, and a low level of blurriness. The overall quality is rated as good."
cake_gsigma_0_tsigma_32.ply,Distorted but identifiable,Low,Low,High,Low,Low,None,None,None,None,44.28105151,44,Poor,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a high level of noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as poor."
cake_gsigma_2_tsigma_8.ply,Slightly distorted but identifiable,Low,Low,Medium,Medium,High,None,None,None,None,67.14183949,67,Good,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, a medium level of noise, and a medium level of blurriness; on the geometric side, we observe a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
cake_gsigma_2_tsigma_16.ply,Slightly distorted but identifiable,Low,Low,Medium,Low,High,None,None,None,None,58.68613346,59,Fair,"From a perceptual standpoint, the texture is slightly distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, a medium level of noise, and a low level of blurriness, and geometric ones include a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
cake_gsigma_2_tsigma_32.ply,Distorted but identifiable,Low,Medium,High,Low,High,None,None,None,None,40.58216881,41,Poor,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a low level of brightness distortion, a medium level of color distortion, a high level of noise, and a low level of blurriness, whereas geometric effects involve a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
cake_gsigma_4_tsigma_8.ply,Distorted but identifiable,Low,Low,Medium,High,Medium,Low,None,None,None,50.02089902,50,Fair,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, a medium level of noise, and a high level of blurriness, whereas geometric effects involve a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
cake_gsigma_4_tsigma_16.ply,Distorted but identifiable,Low,Low,High,High,Medium,Low,None,None,None,45.00850006,45,Fair,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a high level of noise, and a high level of blurriness. Geometric artifacts such as a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
cake_gsigma_4_tsigma_32.ply,Distorted but identifiable,Low,Low,Severe,High,High,Low,None,None,None,33.58645616,34,Poor,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, a severe level of noise, and a high level of blurriness, whereas geometric effects involve a high level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
cake_level_7.ply,Completely Damaged,High,Severe,Severe,Medium,Severe,Low,None,None,None,7.770366309,8,Bad,"When examining this point cloud, the texture is completely damaged. On the photometric side, we observe a high level of brightness distortion, a severe level of color distortion, a severe level of noise, and a medium level of blurriness; on the geometric side, we observe a severe level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
cake_level_8.ply,Barely Identifiable,High,High,High,Medium,High,None,None,None,None,17.08593154,17,Bad,"When examining this point cloud, the texture is barely identifiable. On the photometric side, we observe a high level of brightness distortion, a high level of color distortion, a high level of noise, and a medium level of blurriness; on the geometric side, we observe a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
cake_level_9.ply,Slightly distorted but identifiable,Low,Low,Medium,None,Medium,None,None,None,None,64.34512167,64,Fair,"In this point cloud, the texture is slightly distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a medium level of noise, and no perceptible blurriness, while geometric artifacts include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
cake_pqs_1_qs_16_rounded.ply,Slightly distorted but identifiable,Low,None,Low,Low,Low,None,None,None,None,90.78201527,91,Excellent,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, no perceptible color distortion, a low level of noise, and a low level of blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
cake_pqs_1_qs_32_rounded.ply,Slightly distorted but identifiable,Low,Medium,Low,Low,Low,None,None,None,None,62.31185039,62,Fair,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a medium level of color distortion, a low level of noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
cake_pqs_1_qs_48_rounded.ply,Slightly distorted but identifiable,Low,High,Low,Medium,Low,None,None,None,None,34.56216851,35,Poor,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a high level of color distortion, a low level of noise, and a medium level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
cake_pqs_1_qs_64_rounded.ply,Distorted but identifiable,Low,Severe,Low,Medium,Low,None,None,None,None,24.85902515,25,Poor,"From a perceptual viewpoint, the texture is distorted but identifiable. Geometric distortions are characterized by a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a severe level of color distortion, a low level of noise, and a medium level of blurriness. The overall quality is rated as poor."
cake_tsl_4_tqs_64.ply,Slightly distorted but identifiable,Low,Low,None,Medium,Low,None,None,None,Low,83.76018893,84,Good,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and a low level of deformed shape. The overall quality is rated as good."
cake_tsl_4_tqs_128.ply,Slightly distorted but identifiable,Low,Low,None,Medium,Low,None,None,None,Low,71.41920062,71,Good,"From a perceptual standpoint, the texture is slightly distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness, and geometric ones include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and a low level of deformed shape. The overall quality is rated as good."
cake_tsl_4_tqs_256.ply,Distorted but identifiable,Low,Low,None,Medium,Low,None,Low,None,Low,53.06015189,53,Fair,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, a low level of grid artifact, no perceptible missing region, and a low level of deformed shape. The overall quality is rated as fair."
cake_tsl_4_tqs_512.ply,Barely Identifiable,Low,Low,None,High,Low,None,Medium,None,None,21.54060176,22,Bad,"From a perceptual viewpoint, the texture is barely identifiable. Geometric distortions are characterized by a low level of point density distortion, no perceptible scattering artifact, a medium level of grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a high level of blurriness. The overall quality is rated as bad."
cake_tsl_6_tqs_64.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Low,None,None,None,None,82.75849407,83,Good,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
